화,볶음밥,계란국,소시지,1800
수,밥,김칫국,생선구이,6000
목,밥,어묵국,닭갈비,2500
금,밥,짜글이찌개동그랑땡,샐러드,1450
토,밥,잡국,돈육볶음,1000
일,밥,감자탕,계란찜,1200
월,밥,콩나물국,돈육볶음,3000
화,마요덮밥,장국,진미채무침,3000
수,밥,부대찌개,생선구이,2500
목,밥,스프,함박스테이크,1700
금,밥,김칫국,불고기팟타이,1200
토,밥,계란국,돈까스,1200
일,밥,순두부찌개돈까스,,1500
월,밥,짬뽕국,탕수육,2000
화,밥,스프,돈까스,2000
수,밥,육개장,완자전,1000
목,밥,어묵국,생선구이,1250
금,밥,김칫국,떡갈비,1800
토,밥,감자탕,계란장조림,1000
일,밥,잡국,돈육볶음,1500
월,볶음밥,장국,소세지,3000
화,마요덮밥,순두부찌개 ,진미채무침,2000
수,밥,잡국,생선구이,1500
목,밥,스프,스파게티,1500
금,밥,어묵국,계란찜,1500
토,밥,부대찌개,만두튀김,1000
일,밥,잡국,돈까스,1000
월,밥,닭죽,고로케,1500
화,밥,장국,닭갈비,1500
수,밥,떡국,생선구이,1000
목,밥,국밥,탕수육,2000
금,밥,장국,제육뚝배기,1500
토,밥,육개장,계란장조림,1000
일,밥,잡국,미트볼조림,1000
월,마요덮밥,수제비국,진미채무침,2000
화,밥,부대찌개,생선구이,1500
수,밥,된장국,쭈꾸미볶음,1700
목,김치볶음밥계란국,,스파게티,1500
금,밥,짬뽕국,탕수육,1000
토,밥,어묵국,순대볶음,800
일,밥,잡국,돈육볶음,800
월,볶음밥,어묵국,소세지,2000
화,밥,미역국,닭갈비,2000
수,밥,스프,돈까스,3000
목,밥,감자탕,계란찜,1500
금,밥,짜글이찌개,땅콩조림,1068
토,밥,된장찌개,쭈꾸미볶음,1000
일,밥,잡국,탕수육,1000
월,밥,김칫국,불고기팟타이,1500
화,마요덮밥,잡국,진미채무침,1500
수,밥,부대찌개,생선구이,1500
목,자장밥,계란국,잡채,2000
금,밥,순두부찌개,만두튀김,1500
토,밥,시락국,돈육볶음,1000
일,밥,육개장,계란장조림,1200
월,밥,국밥,소세지,2000
화,밥,수제비국,돈까스,1600
수,밥,김칫국,돈육볶음,2000
목,김치볶음밥계란국,우동국,스파게티,2000
금,컵밥,시락국,단무지,1500
토,밥,스프,함박스테이크,1200
일,밥,미역국,돈까스,2000
월,밥,닭죽,두부구이,1500
화,밥,콩나물국,탕수육,1500
수,밥,감자탕,동그랑땡,1000
목,밥,잡국,볶음우동,700
금,밥,소고기국,미트볼조림,340
월,밥,국,메뉴1,1500
화,밥,닭죽,미트볼조림,1500
수,밥,미역국,닭갈비,1500
목,밥,된장국,완자전,1500
금,밥,국밥,두부구이,1000
토,밥,김치찌개,어묵조림,1000
일,밥,된장국,오징어볶음,1000
월,밥,스프,함박스테이크,1500
화,마파두부덮밥,계란국,고로케,1500
수,밥,설렁탕,동그랑땡,1500
목,밥,된장국,생선구이,1500
금,밥,김칫국,닭갈비,1000
토,컵밥,미역국,단무지,1000
일,밥,감자국,돈육볶음,1000
월,밥,육개장,계란장조림,2000
화,밥,시락국,돈육볶음,2000
수,마요덮밥,어묵국,푸실리,1500
목,밥,감칫국,고로케,1500
금,밥,부대찌개,생선구이,1000
토,밥,오이냉국,제육뚝배기,1000
일,밥,감자탕,경단,1000
월,밥,계란국,함박스테이크,2500
화,김치볶음밥,장국,맛탕,1500
수,밥,짬뽕국,탕수육,1000
목,밥,소고기국,생선구이,1500
금,밥,감자탕,계란찜,3000
토,밥,미역국,닭갈비,1000
일,밥,알탕,소시지,1513
월,밥,아욱국,돈육볶음,2000
화,밥,국밥,동그랑땡,2000
수,김치볶음밥,어묵국,고로케,1500
목,밥,닭죽,떡갈비,1000
금,밥,잡국,생선구이,1000
토,밥,짜글이찌개,샐러드,1000
일,밥,부대찌개,만두튀김,1500
월,밥,스프,햄버거스테이크,2000
화,볶음밥,계란국,돈까스,2000
수,마요덮밥,콩나물국,볶음우동,3000
목,밥,미역국,생선구이,1500
금,밥,수제비국,닭갈비,1000
토,밥,된장국,오징어볶음,1500
일,밥,부대찌개,두부구이,2000
월,밥,어묵국,불고기,2000
화,밥,된장찌개,돈육볶음,2000
수,밥,스프,함박스테이크,2000
목,밥,국밥,동그랑땡,1500
금,밥,어묵국,생선구이,1500
토,밥,닭죽,산적,1500
일,밥,육개장,계란찜,2000
월,밥,미역국,돈까스,2000
화,돈육덮밥,계란국,소시지,2000
수,밥,스프,돈까스,1500
목,밥,육개장,미트볼조림,1500
금,김치볶음밥,콩나물국,맛탕,1000
토,밥,짬뽕국,탕수육,1500
일,밥,알탕,계란장조림,1000
월,밥,해장국,순대볶음,2000
화,밥,짬뽕국,완자전,2000
수,밥,콩나물국,만두튀김,2000
목,밥,닭죽,떡갈비,1500
금,마요덮밥,장국,어묵조림,1000
토,밥,감자탕,야채튀김,1000
일,밥,부대찌개,스크램블에그,1000
월,밥,잡국,돈육볶음,1000
화,밥,스프,함박스테이크,1500
수,밥,장국,계란찜,2000
목,밥,국밥,두부구이,1500
금,밥,김치찌개,생선구이,1000
토,마파두부덮밥,수제비국,소시지,1000
일,밥,어묵국,돈까스,1000
월,밥,소고기국,계란장조림,1500
화,밥,미역국,미트볼조림,1500
